ID,TEXT
1600,"A LONG WAY FROM S  XXXIV. — THE BAR S  XXXV. — THE PERFECT I  XXXVI. — AN ALLY, AND SOLID G [SNIPPET] He wished nothing on his conscience.  Armed with the keys and the legal title, I took possession. In the daylight it was much as it had been the night before. Once across its threshold, one was in dank and furtive suppression; the air was heavy; a mould of age had streaked the walls and gloomed the shadows. I put up all the curtains to let in the rush of sunlight, likewise I opened the windows."
1601,"Argo walked to a brazier and deposited the flaming paper. Then she turned again to Geo. "" I can fog the brain of a single person, as I did with Snake; or I can bewilder a hundred men. As easily as I can fire a dried, worn map, I can raze a city."" ""With those to help,"" smiled Geo, ""I think we have a fair chance to reach this Hama, and return."" But the smile with which she answered his was strange, and then suddenly it was completely gone. "" Do you think,"" she said, ""that I would put such temptation in your hands? You might be captured, and if so, then the jewels would be in the hands of Aptor once more."" [SNIPPET] Snake, I'm sorry. I didn't mean to yell. But I do want you to tell me. Very much."" Urson let the boy up, still mumbling, ""Well, he's not going to get away again."" ""When did he get away from you the first time?"" Geo said, coming over to the boy. "" Let him go."
1602,"""These are good days,"" said Morano. He forgot how short a time ago he had said regretfully that these days were not as the old days. But our race, speaking generally, is rarely satisfied with the present, and Morano's cheerfulness had not come from his having risen suddenly superior to this everyday trouble of ours; it came from his having shifted his gaze to the future. Two things are highly tolerable to us, and even alluring, the past and the future. It was only with the present that Morano was ever dissatisfied. [SNIPPET] said one.  ""It has many names,"" said Rodriguez.  And then another one of them recognised it from the shape of its roofs. "" It is Saint Judas-not-Iscariot,"" he said.  ""Aye, so strangers call it,"" said Rodriguez.  And where the road turned round that fold of the plain, lolling a little to its left in the idle Spanish air, they came upon the village all in view. I do not know how to describe this village to you, my reader, for the words that mean to you what it was are all the wrong words to use. "" Antique,"" ""old-world,"" ""quaint,"" seem words with which to tell of it. Yet it had no antiquity denied to the other villages; it had been brought to birth like them by the passing of time, and was nursed like them in the lap of plains or valleys of Spain."
1603,"I'm almost pleased to find it this primitive. I don't think it can have gone further anywhere on the planet, or we'd have seen cities, farms, roads, in the photographs. Unless——"" ""Unless what, Doctor?"" ""Oh—unless there might be forms with no Earth parallel. In the forests perhaps—even underground. Thought of that? But that's speculations, and our little soldiers here are fact. [SNIPPET] Dorothy stooped to demonstrate the mechanism a few times. "" I'm Dorothy, by the way, more widely known as the Dope, which is a title of uncommon distinction among my people, achieved only after long study of the art of saying the right thing at the wrong time, burning the bacon, and preserving at all times an air of sweet and addled dignity—Dorothy...."" She indicated herself plainly and pointed, with questioning eyebrows. The tree-frog voice, with no sternness, but a hint of friendliness: ""Tor-o-thee...?"" She imitated Dorothy's motions. "" Abro Pakriaa—"" ""Pakriaa."" ""Abro Pakriaa."""
1604,"In the cheaper schools, what is gained by the longer existence of the Specimen is lost, partly in the expenditure for food, and partly in the diminished accuracy of the angles, which are impaired after a few weeks of constant ""feeling"". Nor must we forget to add, in enumerating the advantages of the more expensive system, that it tends, though slightly yet perceptibly, to the diminution of the redundant Isosceles population—an object which every statesman in Flatland constantly keeps in view. On the whole therefore—although I am not ignorant that, in many popularly elected School Boards, there is a reaction in favour of ""the cheap system"" as it is called—I am myself disposed to think that this is one of the many cases in which expense is the truest economy.  But I must not allow questions of School Board politics to divert me from my subject. [SNIPPET] What was our horror when we saw before us a Figure! At the first glance it appeared to be a Woman, seen sideways; but a moment's observation shewed me that the extremities passed into dimness too rapidly to represent one of the Female Sex; and I should have thought it a Circle, only that it seemed to change its size in a manner impossible for a Circle or for any regular Figure of which I had had experience.  But my Wife had not my experience, nor the coolness necessary to note these characteristics. With the usual hastiness and unreasoning jealousy of her Sex, she flew at once to the conclusion that a Woman had entered the house through some small aperture. "" How comes this person here?"" she exclaimed, ""you promised me, my dear, that there should be no ventilators in our new house."" "" Nor are there any,"" said I; ""but what makes you think that the stranger is a Woman? I see by my power of Sight Recognition——"" ""Oh, I have no patience with your Sight Recognition,"" replied she, ""'Feeling is believing' and 'A Straight Line to the touch is worth a Circle to the sight'""—two Proverbs, very common with the Frailer Sex in Flatland."
1605,"""A recipe from the curiosa section of my medical book,"" he said. "" I whipped up some capsules for my pocket kit, just in case of emergency, and I couldn't help thinking of them when—"" ""Never mind the buildup,"" Captain Corelli said. "" What was it?"" ""A formula invented by ancient Terran bartenders, and not recommended except in extreme cases,"" the Quack said. "" With a very odd name. It's called a twin Mickey."" We'd probably have murdered him then and there if the Quack's concoction had let us. [SNIPPET] Captain Corelli drew himself up stiffly. "" I think,"" he said, ""that the three of us should be able to unravel your little riddle, if you'll condescend to tell us what it is."" Gaffa sent a puzzled look at the Quack, and I could see that he was wondering why Corelli hadn't included him in the boast. But Gaffa didn't know how simple the Quack could be, nor how preoccupied with his own physiology he was. ""One of these two,"" said Gaffa, pointing to the two Haslops, ""is the original Ira Haslop, who was stranded here twenty-two Terran years ago. The other is a synthetic creation of ours—an android, if you like, who is identical, cell by cell, with the original so far as exterior likeness is concerned. We could not duplicate the interior without dissection, which of course was out of the question, so we were forced to make compromises that—"" Gibbons interrupted him incredulously. "" You mean you've created a living creature, brain and all?"""
1606,"""May I not take you to the car?"" ""You had better not."" At the door she turned back once more. "" Write me every day, or call me up on the telephone."" He straightened himself, as if to convince her of his strength. Yet when at last the door had closed behind her, his courage forsook him for a moment. [SNIPPET] Take your body along, but leave your brain behind—[Pg 68]at least do not take more of it with you than is necessary. The summer season in Atlantic City has just begun. There, as everywhere in American society, you will be much more welcome if you come without brains."" Reginald's half-bantering tone reassured Ernest a little. Timidly he dared approach once more the strange event that had wrought such havoc with his nervous equilibrium."
1607,"A few hundred miles outside the ship, the Lady May thought back at him, ""O warm, O generous, O gigantic man! O brave, O friendly, O tender and huge Partner! O wonderful with you, with you so good, good, good, warm, warm, now to fight, now to go, good with you...."" He knew that she was not thinking words, that his mind took the clear amiable babble of her cat intellect and translated it into images which his own thinking could record and understand. Neither one of them was absorbed in the game of mutual greetings. [SNIPPET] The odds suddenly moved down from a hundred to one against mankind to sixty to forty in mankind's favor. This was not enough. The telepaths were trained to become ultrasensitive, trained to become aware of the Dragons in less than a millisecond. But it was found that the Dragons could move a million miles in just under two milliseconds and that this was not enough for the human mind to activate the light beams. Attempts had been made to sheath the ships in light at all times."
1608,"Pray you mark.  (Sings) White his shroud as the mountain s  Enter King.  Queen. Alas, look here, my lord! Oph. ( Sings) Larded all with sweet flowers; Which bewept to the grave did not go With true-love showers.  King. How do you, pretty lady? [SNIPPET] With what, i' th' name of God I Oph. My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbrac'd, No hat upon his head, his stockings foul'd, Ungart'red, and down-gyved to his ankle; Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosed out of hell To speak of horrors- he comes before me. Pol. Mad for thy love? Oph. My lord, I do not know, But truly I do fear it. Pol."
1609,"Annales de Chimie, tom, xxviii. p. 190. Ibid. pp. [SNIPPET] These might, as to the matter, very properly have appeared in this volume, but they would have interfered with it as a simple reprint of the ""Experimental Researches"" of the Philosophical Transactions. Then I wish to refer, in relation to the Fourth Series on a new law of Electric Conduction, to Franklin's experiments on the non-conduction of ice, which have been very properly separated and set forth by Professor Bache (Journal of the Franklin Institute, 1836. xvii. 183.). These, which I did not at all remember as to the extent of the effect, though they in no way anticipate the expression of the law I state as to the general effect of liquefaction on electrolytes, still should never be forgotten when speaking of that law as applicable to the case of water."
