ID,TEXT,LABEL
1340,"Strict eugenic control was instituted by the Security Council of the United Nations so that fertile men and women would not be wasted upon non-fertile mates. Fertility was the most important avenue to social status, and right after it came successful genetic research. Genetic research had the very best minds prodded into it; the lesser ones went into the other sciences. Everyone on Earth was engaged in some form of scientific research to some extent. Since the population was now so limited in proportion to the great resources available, all physical labor had long been done by robots. The government saw to it that everybody had an ample supply of goods and, in return, asked only that they experiment without any risk to their own lives—every human being was now a much-prized, highly guarded rarity. There were less than a hundred thousand of them, well below the danger point, it had been estimated, where a species might be wiped out by a new calamity. Not that another calamity would be needed. Since the end of the Epidemic, the birth rate had been moving further and further behind the death rate. [SNIPPET] ""Remind him to be careful, Bob,"" Honek rumbled. "" He thinks he's Captain Blood and this is his big chance to run away to sea and become a swashbuckling pirate."" Albin grimaced in annoyance. "" I am excited by doing something besides sitting in a safe little corner working out safe little abstractions for the first time in my life. But I know that this is a first experiment. Honestly, Hugo, I really have enough intelligence to recognize that simple fact. I know that if anything unexpected pops up, anything we didn't foresee, I'm supposed to come scuttling back and ask for advice."" ""I hope you do,"" Bob Skeat sighed. """,1.0
679,"shouted Robin back. On they went. The helmet banging against Robin's back made him feel clumsy and odd, yet he moved through the air with the agility of a phantom. Now, suddenly, there loomed a dark wall before them and they caught themselves back just in time to keep from smashing headlong into it. "" [SNIPPET] After arriving at the date, he made the time eight in the morning, laid out the times he expected to eat, to work, to sleep. He would try to live according to a full Terrestrial day, checking the passage of time by his watch. He then listed all the things he expected would have to be done, and decided to check them off as he completed them. Next he ate breakfast from the fruit of the ball-tree. He spent the rest of that morning trying to find a means of making fire. He had some bits of steel from the rocket, and he tried to strike sparks on everything that resembled rock. After a search, he found some fragments of rock near the water that gave off a spark.",1.0
845,"I am glad this Hitler used old Germanic on his subs, and that I majored in it once. I—er—I am gettin' arthritis all at once! The bends! Uh—er—look, peel them suits off the other creeps and fast, Zahooli, as I bet they can be inflated and made into compression chambers. They have got connections that plug into something."" [SNIPPET] But then another earthquake shakes Earth from the rice fields of China to the llamas in Peru just when it looks as if we were about to be tossed into an outer space pokey. The seismologists get together and agree that they can't possibly figure out the depth of the focus and state that the long waves have to pass through the epicenter or some such spot underground. Anyway, all the brass agrees that something is going on in inner space not according to Hoyle or Euclid or anybody else and that we three characters might just hit on something of scientific value. The Magnificent Mole is built mostly of titanium, a metal which is only about half as heavy as steel and twice as rugged. It is not quite as big in diameter as the auger, for if it was any Martian moron knows we would scrape our sides away before we got down three miles. We store concentrated chow to last six months and get the acceleration couches ready. We are to blast down at eighteen point oh-four hours, Friday, May 26th, 2022.",0.0
926,"His simpering smirk stretched from ear to there as he murmured, ""Now, Miss Thomas—"" ""Sandra, Mr. Pending,"" she sighed softly. "" To you just plain ... Sandy. Please?"" ""Well, Sandy—"" Pat gulped. I said disgustedly, ""Look, you two—break it up! Love at first sight is wonderful in books, but in a Federal office I'm pretty sure it's unconstitutional, and it may be subversive. Would you mind coming down to earth? Pat, you barged in here squalling about some new invention. [SNIPPET] But advancement is painfully slow in a department where discharges are unheard of and resignations rare. When I started clerking for this madhouse I was assistant to the assistant Chief Clerk's assistant. Now, ten years later, by dint of mighty effort and a cultivated facility for avoiding Senatorial investigations, I've succeeded in losing only one of those redundant adjectives. Being my secretary, Joyce certainly realized this. But women have a remarkable ability to separate business and pleasure. So: ""A promotion,"" she insisted. """,0.0
363,"He happened to be the grandfather of a certain competent young crewman. The old man was a proud figure during the brief ceremonies and his eyes filled with tears as the mighty rocket climbed straight up on its fiery tail. He remained there gazing up at the sky long after it had vanished. He was heard to murmur, ""I am glad the kid could go, but it is just a lark to him. He never had a 'sense of wonder.' [SNIPPET] Even if deserted, the entire scientific personnel would have raised a howl that would have been heard back on Earth if just a section of wall was scorched. When planet-fall was completed and observers had time to scan the surroundings it was seen that the city was very much alive. ""What keeps them up!"" marvelled Kopchainski, the aeronautics and rocketry authority. The sky swarmed with ships of strange design. The walls were crowded with inhabitants, too far away for detailed observation. Even as they looked an enormous gate opened and a procession of mounted figures emerged. In the event the place was deserted, the Captain would have had the honor of being the first to touch Martian soil.",1.0
1125,"All handsome!"" Then he'd stopped talking as he studied those in the foreground more closely. Their clothing, to call it that, was most peculiar. It was rags. Here and there was a garment that bore a resemblance to a dress or jacket or pair of trousers, but for the most part the people simply had chunks of cloth wrapped about them in a most careless fashion. [SNIPPET] He could also see Staghorn, for his eyes continued to function and transmit optical patterns, but precisely where he was while receiving these patterns he couldn't possibly say. He heard Staghorn remark, ""Fine. The connection is perfect. It's always better when the subject is bald. I'm going to switch you over into Humanac's circuits now."" Staghorn's hand moved across the controls and one of his long fingers flipped a switch. This was the last Dr. Peccary saw of Roger Staghorn. Instantly he found himself standing in the center of the small park in his home town. His reaction was not one of alarm.",0.0
426,"Now the lost Greek words burst into Phobar's mind, and, hoping against hope, he thought in Greek word-pictures which his captor could not understand. He weighed chances, long shots. Into his brain flashed an idea.... But they were upon the laboratory; a stupendous door dissolved weirdly into shimmering haze; they sped through. Phobar's hand clutched a bulge in his pocket. Would it work? [SNIPPET] So stupendous a control of power, so gigantic a manipulation of cosmic forces, so annihilating a possession of the greatest secrets of the universe, was an unheard-of concentration of energy and knowledge of stellar mechanics. But the evidence of his own eyes and the path of the dark star with flaming suns to mark its progress, told him in language which could not be refuted that the dark star possessed all that immeasurable, titanic knowledge. It was the lord of the universe. There was nothing which the dark star could not crush or conquer or change. The thought of that immense, supreme power numbed his mind. It opened vistas of a civilization, and a progress, and an unparalleled mastery of all knowledge which was almost beyond conception. Already the news had raced across the world.",0.0
1253,"We can destroy planets, of course, but with few exceptions, we cannot conquer them. I rule a total of seven races in my Sector. I rule them, but I don't let them intermingle. Each race settles on the planets that best suit it. Each of those planets is quite capable of defending itself from raids, or even large-scale assaults that would result in its capture and subjugation—just as your little Earth can defend itself. ""Naturally, each is vulnerable to economic blockade—trade provides a small but vital portion of the goods each planet uses. All that a world requires for a healthy and comfortable life cannot be provided from the resources of that single world alone, and that gives us a very considerable measure of control. ""And it is true that we can always exterminate any planet that refuses to obey the just and legal orders of its Viceroy. [SNIPPET] His Effulgence commands you to appear before him at once."" The two guards withdrew their pikes and froze into immobility at the sides of the entrance. Crownwall stamped out his smoke and ambled after the hurrying courtier along tremendous corridors, through elaborate waiting rooms, under guarded doorways, until he was finally bowed through a small curtained arch. At the far side of the comfortable, unimpressive room, a plump thing, hide faded to a dull violet, reclined on a couch. Behind him stood a heavy and pompous appearing Vegan in lordly trappings. They examined Crownwall with great interest for a few moments.",0.0
1276,"There were few wonders of the modern world that could thrill the master pilot with any feeling of amazement, but here was a new experience. He would have spoken, would have ejaculated some word of wonder, but for the new light that claimed his eyes and brain. The volcano, even in death, was ages old; its cold desolation showing plainly on the screen. No fires poured now from a hot throat; the molten sea that once had raged within had hardened and choked that vast throat with rock that had frozen to make one enormous plain. Ringed about by the jagged sides of the tremendous volcano, the floor within seemed smooth by comparison, except for another depression at its upper edge. Here was another and smaller crater inside the great ringed wall of Hercules. The light of the sun struck slantingly across to throw one side of the gigantic cup into shadow, while the opposite rim blared brightly in the lunar dawn. And within the smaller crater, too, one side was dead black with shadow. [SNIPPET] Chet had moved silently to the controls. The old multiple-lever instrument—he knew it well! But he looked at Spud O'Malley and waited for his nod of assent before he presumed to trespass on another pilot's domain. Then he shifted two little levers, and the ship fell away beneath them as it plunged toward the Earth. And Pilot O'Malley was explaining to the Patrol Ship Captain as best he could for the rolling plunge of the careening ship:",0.0
346,"Neither one of them was absorbed in the game of mutual greetings. He reached out far beyond her range of perception to see if there was anything near the ship. It was funny how it was possible to do two things at once. He could scan space with his pin-set mind and yet at the same time catch a vagrant thought of hers, a lovely, affectionate thought about a son who had had a golden face and a chest covered with soft, incredibly downy white fur. [SNIPPET] As he relaxed, the comforting solidity of the Sun, the clock-work of the familiar planets and the Moon rang in on him. Our own solar system was as charming and as simple as an ancient cuckoo clock filled with familiar ticking and with reassuring noises. The odd little moons of Mars swung around their planet like frantic mice, yet their regularity was itself an assurance that all was well. Far above the plane of the ecliptic, he could feel half a ton of dust more or less drifting outside the lanes of human travel. Here there was nothing to fight, nothing to challenge the mind, to tear the living soul out of a body with its roots dripping in effluvium as tangible as blood. Nothing ever moved in on the Solar System.",1.0
